School_Alpha,School_Short,prev_school_short,tm,School_Name,school_code,Network_Short,Network_Name,Alt_Network_Short,Alt_Network_Name,Round,Repeat,New,Size,Short
Kent-hs,Kent12F,,0,Kent Innovation High School,KENT,NewTech12F,New Tech Network,,,12F,FALSE,1,198,Kent
KRECR-hs,KRECR11S,,0,Klamath River Early College of the Redwoods,,Del Norte11S,Del Norte County Unified School District,,,11S,FALSE,1,30,KRECR
La Joya East-hs,La Joya East13S,,0,La Joya ISD East Academy,LJEAST,La Joya13S,La Joya Independent School District,,,13S,FALSE,1,195,La Joya East
La Joya West-hs,La Joya West13S,,0,La Joya ISD West Academy,LJWEST,La Joya13S,La Joya Independent School District,,,13S,FALSE,1,199,La Joya West
La Joya-hs,La Joya12S,,0,La Joya High School & ACE,LAJOYA,La Joya12S,La Joya Independent School District,,,12S,TRUE,0,2489,La Joya 
La Joya-hs,La Joya13S,La Joya12S,0,La Joya High School,LJHIGH,La Joya13S,La Joya Independent School District,,,13S,TRUE,1,2146,La Joya
LAHS-hs,LAHS12S,,0,Life Academy High School,LAHS,OUSD12S,Oakland Unified School District,,,12S,FALSE,1,267,LAHS
LeFlore High-hs,LeFlore High12F,,0,LeFlore High School,LEFLORE,Mobile12F,Mobile County Public Schools,,,12F,FALSE,1,1082,LeFlore High
Leflore-hs,Leflore11F,,0,Leflore County High School,LEFLORE,FMS11F,Foundation for the Mid South,,Foundation for the MidSouth - Leflore County School District,11F,FALSE,1,318,Leflore
LHS-hs,LHS11F,LHS11S,0,Lakeland High School,LAKE,NewTech11F,New Tech Network,,New Tech Network,11F,TRUE,0,676,LHS
LHS-hs,LHS11S,,0,Lakeland High School,,NewTech11S,New Tech Network,,,11S,TRUE,0,672,LHS
LHS-hs,LHS12F,LHS11F,0,Lakeland High School Leading EDGE,LAKE,NewTech12F,New Tech Network,,,12F,TRUE,1,677,LHS
Lindbergh-hs,Lindbergh11F,,0,Charles A. Lindbergh High School,LINDB,Renton11F,Renton School District,,Renton School District,11F,FALSE,1,1224,Lindbergh
LMHS-hs,LMHS13X,,0,Los Molinos High School,LSHS,,Los Molinos Unified School District,,,13X,FALSE,1,182,LMHS
LNHS-hs,LNHS13Y,,0,Liberty North High School,LNHS,Liberty Public Schools,Liberty Public Schools,,,13Y,FALSE,1,799,Liberty North
LPHS-hs,LPHS11S,,0,Castlemont Community of Small Schools,,OUSD11S,Oakland Unified School District,,,11S,TRUE,0,208,LPHS
LPHS-hs,LPHS12S,LPHS11S,0,Leadership Preparatory High School,LPHS,OUSD12S,Oakland Unified School District,,,12S,TRUE,1,202,LPHS
LPS-College Park-hs,LPS-College Park13X,,0,Leadership Public Schools - College Park,LPSO,,Learning Lab Network (LLN),,,13X,FALSE,1,302,LPS-College Park
LPS-Richmond-hs,LPS-Richmond13X,,0,Leadership Public Schools - Richmond,LPSR,,Learning Lab Network (LLN),,,13X,FALSE,1,471,LPS-Richmond
Mabton-hs,Mabton08S,,0,Mabton High School,,,,,,08S,TRUE,0,264,Mabton
Mabton-hs,Mabton10F,Mabton08S,0,Mabton High School,,CSF10F,College Success Foundation,,,10F,TRUE,1,264,Mabton
MacArthur HS-hs,MacArthur HS12S,,0,MacArthur High School ,MACAR,Aldine12S,Aldine Public Schools,,,12S,FALSE,1,2427,MacArthur HS
Mandela-hs,Mandela11S,,0,Fremont Federation of High Schools,,OUSD11S,Oakland Unified School District,,,11S,FALSE,1,328,Mandela
Maya Angelou-hs,Maya Angelou08S,,0,Maya Angelou Public Charter School,,,,,,08S,FALSE,1,112,Maya Angelou
Maya-hs,Maya10F,,0,Maya High School,,Leona-AZ10F,The Leona Group - AZ,,,10F,FALSE,1,431,Maya
MC2STEM-hs,MC2STEM10F,MC2STEM10S,0,MC2STEM High School,,OSLN10F,Ohio STEM Learning Network,,,10F,TRUE,0,227,MC2STEM
MC2STEM-hs,MC2STEM10S,,0,MC2STEM High School,,STEM10S,STEM,,,10S,TRUE,0,165,MC2STEM
MC2STEM-hs,MC2STEM13X,MC2STEM10F,0,MC2STEM High School,MCS,,Ohio STEM Learning Network,,,13X,TRUE,1,316,MC2STEM
McClymonds-hs,McClymonds11S,,0,McClymonds High School,,OUSD11S,Oakland Unified School District,,,11S,TRUE,0,246,McClymonds
McClymonds-hs,McClymonds12S,McClymonds11S,0,McClymonds High School,MCCLY,OUSD12S,Oakland Unified School District,,,12S,TRUE,1,283,McClymonds
McDowell Early-hs,McDowell Early13S,,0,McDowell Early College High School,MCDOW,NCNS13S,North Carolina New Schools,,,13S,FALSE,1,214,McDowell Early
MECHS-hs,MECHS11F,HCECHS10S,0,Mattamuskeet Early College High School,HYDEC,NCNSP11F,North Carolina New Schools,,North Carolina New Schools Project,11F,TRUE,1,225,MECHS
Media Prep-hs,Media Prep12S,,0,Media College Prep High School,MEDI,OUSD12S,Oakland Unified School District,,,12S,FALSE,1,246,Media Prep
Metro-hs,Metro10F,Metro10S,0,Metro Early College High School,,OSLN10F,Ohio STEM Learning Network,,,10F,TRUE,0,331,Metro
Metro-hs,Metro10S,,0,Metro Early College High School,,STEM10S,STEM,,,10S,TRUE,0,352,Metro
Metro-hs,Metro12F,Metro12S,1,Metro Early College High School,METRO,OSLN12F,Ohio STEM Learning Network,,,12F,TRUE,1,395,Metro
Metro-hs,Metro12S,Metro10F,1,Metro Early College High School,METRO,OSLN12S,Ohio STEM Learning Network,,,12S,TRUE,0,324,Metro
METSA-hs,METSA10F,METSA10S,0,METSA @ R.L. Turner High School,,NewTech10F,New Tech Network,,,10F,TRUE,1,317,METSA
METSA-hs,METSA10S,,0,METSA @ R.L. Turner High School,,STEM10S,STEM,,,10S,TRUE,0,255,METSA
Metwest-hs,Metwest11S,,0,Metwest High School,,OUSD11S,Oakland Unified School District,,,11S,TRUE,0,139,Metwest
Metwest-hs,Metwest12S,Metwest11S,0,Metwest High School,METW,OUSD12S,Oakland Unified School District,,,12S,TRUE,1,154,Metwest
Miami Beach-hs,Miami Beach09F,,0,Miami Beach Senior High School,,Miami-Dade09F,Miami-Dade County Public Schools,,,09F,TRUE,0,2134,Miami Beach
Miami Beach-hs,Miami Beach10F,Miami Beach09F,0,Miami Beach Senior High School,,Miami-Dade10F,Miami-Dade County Public Schools,,,10F,TRUE,0,2192,Miami Beach
Miami Beach-hs,Miami Beach11F,Miami Beach10F,0,Miami Beach Senior High School,MIABEA,Miami-Dade12S,Miami-Dade County Public Schools,,Miami-Dade County Public Schools,11F,TRUE,0,2385,Miami Beach
Miami Beach-hs,Miami Beach12F,Miami Beach11F,0,Miami Beach Senior High School,MIAB,Miami-Dade13S,Miami-Dade County Public Schools,,,12F,TRUE,1,2471,Miami Beach
Miami Edison-hs,Miami Edison13S,,0,Miami Edison Senior High School,MIAE,Miami-Dade13S,Miami-Dade County Public Schools,,,13S,FALSE,1,925,Miami Edison
Miami Jackson-hs,Miami Jackson11F,,0,Miami Jackson Senior High School,MIAJACK,Miami-Dade12S,Miami-Dade County Public Schools,,Miami-Dade County Public Schools,11F,TRUE,0,1190,Miami Jackson
Miami Jackson-hs,Miami Jackson12F,Miami Jackson11F,0,Miami Jackson Senior High School,MIAJ,Miami-Dade13S,Miami-Dade County Public Schools,,,12F,TRUE,1,1364,Miami Jackson
Middle College at Bennett-hs,Middle College at Bennett10S,,0,The Middle College at Bennett,,NCNSP10S,North Carolina New Schools,,,10S,FALSE,1,95,Middle College at Bennett
Middle College at GTCC-hs,Middle College at GTCC10S,,0,Middle College High School At GTCC-Jamestown,,NCNSP10S,North Carolina New Schools,,,10S,TRUE,0,137,Middle College at GTCC
Middle College at GTCC-hs,Middle College at GTCC13S,Middle College at GTCC10S,0,Middle College High School at GTCC-Jamestown,GTCC,NCNS13S,North Carolina New Schools,,,13S,TRUE,1,170,Middle College at GTCC
MJHS-hs,MJHS10S,,0,Maynard Holbrook Jackson High School,,APS10S,Atlanta Public Schools,,,10S,TRUE,0,873,MJHS
MJHS-hs,MJHS11S,MJHS10S,0,Maynard Holbrook Jackson High School,,APS11S,Atlanta Public Schools,,,11S,TRUE,0,815,MJHS
MJHS-hs,MJHS12S,MJHS11S,1,The Maynard Jackson High School Small Learning Community,MJSLC,APS12S,Atlanta Public Schools,,,12S,TRUE,1,788,MJHS
MLEC-hs,MLEC11F,,0,Miami Lakes Educational Center,MIALAKE,Miami-Dade12S,Miami-Dade County Public Schools,,Miami-Dade County Public Schools,11F,TRUE,0,1483,MLEC
MLEC-hs,MLEC12F,MLEC11F,0,Miami Lakes Educational Center,MLEC,Miami-Dade13S,Miami-Dade County Public Schools,,,12F,TRUE,1,1509,MLEC
MMAS-hs,MMAS10F,,0,Millsmont Secondary Academy,,Aspire10F,Aspire Public Schools,,,10F,FALSE,1,139,MMAS
MNSHS-hs,MNSHS12F,MNSHS12S,0,Miami Northwestern Senior High School,MNSHS,Miami-Dade13S,Miami-Dade County Public Schools,,,12F,TRUE,1,1643,MNSHS
MNSHS-hs,MNSHS12S,,0,Miami Northwestern Senior High School,MIASH1,Miami-Dade12S,Miami-Dade County Public Schools,,,12S,TRUE,0,1604,MNSHS
MNTHS-hs,MNTHS10F,MNTHS10S,0,Manor New Technology High School,,NewTech10F,New Tech Network,,,10F,TRUE,0,332,MNTHS
MNTHS-hs,MNTHS10S,,0,Manor New Technology High School,,STEM10S,STEM,,,10S,TRUE,0,305,MNTHS
MNTHS-hs,MNTHS13Y,MNTHS10F,0,Manor New Technology High School,MNTHS,New Tech,New Tech Network,,,13Y,TRUE,1,340,MNTHS
Montgomery-hs,Montgomery12F,,0,Montgomery High School,MONT,Mobile12F,Mobile County Public Schools,,,12F,FALSE,1,1961,Montgomery
Moscow High-hs,Moscow High13Y,,1,The Anglo-American School of Moscow - High School,MCWH,Anglo American School of Moscow,Anglo American School of Moscow,,,13Y,FALSE,1,191,Moscow High
MPSHS-hs,MPSHS10F,,0,Miami Palmetto Senior High School,,Miami-Dade10F,Miami-Dade County Public Schools,,,10F,FALSE,1,3048,MPSHS
MSSHS-hs,MSSHS10F,,0,Miami Southridge Senior High School,,Miami-Dade10F,Miami-Dade County Public Schools,,,10F,FALSE,1,2266,MSSHS
MST-hs,MST12X,,0,Manchester School of Technology,Mantech,LLN12X,Learning Lab Network,,,12X,TRUE,0,187,MST
MST-hs,MST13X,MST12X,0,Manchester School of Technology,MCHSTR,,Learning Lab Network (LLN),,,13X,TRUE,1,84,MST
Murphy-hs,Murphy12F,,0,Murphy High School,MURPHY,Mobile12F,Mobile County Public Schools,,,12F,FALSE,1,2197,Murphy
NCHS-West STEM-hs,NCHS-West STEM10S,,0,Northampton County High School-West Project CART,,NCNSP10S,North Carolina New Schools,STEM10S,STEM,10S,FALSE,1,302,NCHS-West STEM
NCHSHS-hs,NCHSHS08S,,0,Newton-Conover Health Science High School,,NCNSP08S,North Carolina New Schools,,,08S,TRUE,0,129,NCHSHS
NCHSHS-hs,NCHSHS10S,NCHSHS08S,0,Newton-Conover Health Science High School,,NCNSP10S,North Carolina New Schools,,,10S,TRUE,0,129,NCHSHS
NCHSHS-hs,NCHSHS11F,NCHSHS11S,0,Newton-Conover Health Science High School,NEWT,NCNSP11F,North Carolina New Schools,,North Carolina New Schools Project,11F,TRUE,0,137,NCHSHS
NCHSHS-hs,NCHSHS11S,NCHSHS10S,0,Newton-Conover Health Science High School,,NCNSP11S,North Carolina New Schools,,,11S,TRUE,0,130,NCHSHS
NCHSHS-hs,NCHSHS13S,NCHSHS11F,0,Discovery High School at Newton-Conover,DISC,NCNS13S,North Carolina New Schools,,,13S,TRUE,1,108,Discovery
ND21-hs,ND2110F,,0,North Daviess 21st Century High School,,NewTech10F,New Tech Network,,,10F,FALSE,1,309,ND21
New Bern-hs,New Bern13X,,0,New Bern High School,NBHS,,RTI International,,,13X,FALSE,1,633,New Bern
New Tech-hs,New Tech10S,,0,Hillside New Technology High School,,NCNSP10S,North Carolina New Schools,,,10S,TRUE,0,263,New Tech
New Tech-hs,New Tech11F,New Tech10S,0,Hillside New Technology High School,HILLSTECH,NCNSP11F,North Carolina New Schools,,North Carolina New Schools Project,11F,TRUE,1,346,New Tech
nex+Gen-hs,nex+Gen11F,nex+Gen11S,0,nex+Gen Academy,NEX,NewTech11F,New Tech Network,,New Tech Network,11F,TRUE,0,213,nex+Gen
nex+Gen-hs,nex+Gen11S,,0,nex+Gen Academy,,NewTech11S,New Tech Network,,,11S,TRUE,0,149,nex+Gen
Nex+Gen-hs,Nex+Gen12F,nex+Gen11F,0,Nex+Gen Academy,NEX,NewTech12F,New Tech Network,,,12F,TRUE,1,254,Nex+Gen
Nimitz HS-hs,Nimitz HS12S,,0,Nimitz High School ,NIMI,Aldine12S,Aldine Public Schools,,,12S,FALSE,1,2521,Nimitz HS
Nimitz Ninth-hs,Nimitz Ninth12S,,0,Nimitz Ninth Grade School ,NIMIN,Aldine12S,Aldine Public Schools,,,12S,FALSE,1,930,Nimitz Ninth
NMB-hs,NMB10F,,0,North Miami Beach Senior High School,,Miami-Dade10F,Miami-Dade County Public Schools,,,10F,TRUE,0,2464,NMB
NMB-hs,NMB11F,NMB10F,0,North Miami Beach Senior High School,NORMIA,Miami-Dade12S,Miami-Dade County Public Schools,,Miami-Dade County Public Schools,11F,TRUE,0,2163,NMB
NMB-hs,NMB12F,NMB11F,0,North Miami Beach Senior High School,NMB,Miami-Dade13S,Miami-Dade County Public Schools,,,12F,TRUE,1,2112,NMB
NT@Arsenal-hs,NT@Arsenal10F,,0,New Tech High @ Arsenal,,NewTech10F,New Tech Network,,,10F,FALSE,1,264,NT@Arsenal
NT@ET-hs,NT@ET11S,,0,New Tech @ East Tech High School,,NewTech11S,New Tech Network,,,11S,FALSE,1,97,NT@ET
NT@R-hs,NT@R11S,,0,New Tech @ Ruston,,NewTech11S,New Tech Network,,,11S,FALSE,1,98,NT@R
NT@Wayne-hs,NT@Wayne10F,,0,New Tech Academy @ Wayne High School,,NewTech10F,New Tech Network,,,10F,TRUE,0,190,NT@Wayne
NT@Wayne-hs,NT@Wayne11F,NT@Wayne10F,0,New Tech Academy @ Wayne High School,NTWAYNE,NewTech11F,New Tech Network,,New Tech Network,11F,TRUE,0,280,NT@Wayne
NT@Wayne-hs,NT@Wayne12F,NT@Wayne11F,0,New Tech Academy @ Wayne High School,NTW,NewTech12F,New Tech Network,,,12F,TRUE,1,375,NT@Wayne
NT@ZB-hs,NT@ZB10F,,0,New Tech High @ Zion-Benton East,,NewTech10F,New Tech Network,,,10F,FALSE,1,257,NT@ZB
NTGM-hs,NTGM11F,NTGM11S,0,New Tech West,NTWEST,NewTech11F,New Tech Network,,New Tech Network,11F,TRUE,0,207,NTGM
NTGM-hs,NTGM11S,,0,New Tech @ Garrett Morgan,,NewTech11S,New Tech Network,,,11S,TRUE,0,130,NTGM
NTGM-hs,NTGM12F,NTGM11F,0,New Tech West High School,NTGM,NewTech12F,New Tech Network,,,12F,TRUE,1,276,New Tech West
NTHS-hs,NTHS10F,,0,New Technology High School: Napa,,NewTech10F,New Tech Network,,,10F,FALSE,1,381,NTHS
NTI-hs,NTI11S,,0,New Tech Institute,,NewTech11S,New Tech Network,,,11S,FALSE,1,93,NTI
Odessa-hs,Odessa12F,,0,New Tech Odessa,ODESSA,NewTech12F,New Tech Network,,,12F,FALSE,1,287,Odessa
OHS-hs,OHS11S,,0,Oakland High School,,OUSD11S,Oakland Unified School District,,,11S,TRUE,0,1750,OHS
OHS-hs,OHS12S,OHS11S,0,Oakland High School,OAKH,OUSD12S,Oakland Unified School District,,,12S,TRUE,1,1645,OHS
PAHS-hs,PAHS09F,,0,Peoria Accelerated High School,,Leona-AZ09F,The Leona Group - AZ,,,09F,TRUE,0,419,PAHS
PAHS-hs,PAHS10F,PAHS09F,0,Peoria Accelerated High School,,Leona-AZ10F,The Leona Group - AZ,,,10F,TRUE,1,413,PAHS
Palmer-hs,Palmer11F,,0,Madison Shannon Palmer High School,MPALM,FMS11F,Foundation for the Mid South,,Foundation for the MidSouth - Quitman County School District,11F,FALSE,1,344,Palmer
Palmview-hs,Palmview12S,,0,Palmview High School & ACE,PALMV,La Joya12S,La Joya Independent School District,,,12S,TRUE,0,2307,Palmview 
Palmview-hs,Palmview13S,Palmview12S,0,Palmview High School,PALMV,La Joya13S,La Joya Independent School District,,,13S,TRUE,1,2174,Palmview
PC Early College-hs,PC Early College11S,,0,Polk County Early College,,NCNSP11S,North Carolina New Schools,,,11S,FALSE,1,53,PC Early College
Peabody Magnet-hs,Peabody Magnet11F,,0,Peabody Magnet High School,PEAB,FMS11F,Foundation for the Mid South,,Foundation for the MidSouth - Rapides Parish School District,11F,TRUE,0,746,Peabody Magnet
Peabody Magnet-hs,Peabody Magnet13S,Peabody Magnet11F,0,Peabody Magnet High School,PBDY,Rapides13S,Rapides Parish School District,,,13S,TRUE,1,669,Peabody Magnet
PEC-hs,PEC10S,,0,Pender Early College High School,,NCNSP10S,North Carolina New Schools,,,10S,TRUE,0,188,PEC
PEC-hs,PEC11F,PEC11S,0,Pender Early College High School,PEND,NCNSP11F,North Carolina New Schools,,North Carolina New Schools Project,11F,TRUE,0,232,PEC
PEC-hs,PEC11S,PEC10S,0,Pender Early College High School,,NCNSP11S,North Carolina New Schools,,,11S,TRUE,0,271,PEC
PEC-hs,PEC13S,PEC11F,0,Pender Early College High School,PEC,NCNS13S,North Carolina New Schools,,,13S,TRUE,1,235,PEC
PHS-hs,PHS10F,PHS10S,0,Perkins High School,,OSLN10F,Ohio STEM Learning Network,,,10F,TRUE,0,700,Perkins
PHS-hs,PHS10S,,0,Perkins High School,,STEM10S,STEM,,,10S,TRUE,0,674,Perkins
PHS-hs,PHS12S,PHS10F,1,Perkins High School,PERK,OSLN12S,Ohio STEM Learning Network,,,12S,TRUE,0,767,Perkins
PHS-hs,PHS13S,PHS12S,1,Perkins High School,PERKHS,OSLN13S,Ohio STEM Learning Network,,,13S,TRUE,1,794,Perkins
Rain-hs,Rain12F,,0,Rain High School,RAIN,Mobile12F,Mobile County Public Schools,,,12F,FALSE,1,657,Rain
RCEC-hs,RCEC10S,,0,Rowan Early College High School,,NCNSP10S,North Carolina New Schools,,,10S,TRUE,0,134,RCEC
RCEC-hs,RCEC11F,RCEC10S,0,Rowan Early College High School,ROWAN,NCNSP11F,North Carolina New Schools,,North Carolina New Schools Project,11F,TRUE,1,224,RCEC
RECHS-hs,RECHS11S,,0,Rockingham Early College High School,,NCNSP11S,North Carolina New Schools,,,11S,FALSE,1,220,RECHS
Renton High-hs,Renton High11F,,0,Renton High School,RENT,Renton11F,Renton School District,,Renton School District,11F,FALSE,1,1297,Renton High
Reynoldsburg Encore-hs,Reynoldsburg Encore13S,,1,Reynoldsburg Encore Academy,REYNENC,OSLN13S,Ohio STEM Learning Network,,,13S,FALSE,1,941,Reynoldsburg Encore
Reynoldsburg eSTEM-hs,Reynoldsburg eSTEM13S,,1,Reynoldsburg eSTEM Academy,REYSTEM,OSLN13S,Ohio STEM Learning Network,,,13S,FALSE,1,941,Reynoldsburg eSTEM
River Rouge-hs,River Rouge11F,,0,River Rouge New Tech High International Academy,RROGUE,NewTech11F,New Tech Network,,New Tech Network,11F,FALSE,1,530,River Rouge
RJB-hs,RJB11S,,0,Ralph J. Bunche High School,,OUSD11S,Oakland Unified School District,,,11S,TRUE,0,190,RJB
RJB-hs,RJB12S,RJB11S,0,Ralph J. Bunche High School,RJB,OUSD12S,Oakland Unified School District,,,12S,TRUE,1,249,RJB
RMEC-hs,RMEC11F,,0,Robert Morgan Educational Center,ROMOR,Miami-Dade12S,Miami-Dade County Public Schools,,Miami-Dade County Public Schools,11F,TRUE,0,2271,RMEC
RMEC-hs,RMEC12F,RMEC11F,0,Robert Morgan Educational Center,RMEC,Miami-Dade13S,Miami-Dade County Public Schools,,,12F,TRUE,1,2256,RMEC
Rosemont-hs,Rosemont12F,,1,Rosemont High School,ROSEMT,Sacramento12F,Sacramento City Unifed School District,,,12F,FALSE,1,1417,Rosemont
Rudsdale-hs,Rudsdale11S,,0,Rudsdale Continuation School,,OUSD11S,Oakland Unified School District,,,11S,FALSE,1,155,Rudsdale
S.E.A New Tech-hs,S.E.A New Tech10F,,0,Student Empowerment Academy,,NewTech10F,New Tech Network,,,10F,FALSE,1,402,S.E.A New Tech
SA CAD-hs,SA CAD08S,,0,South Atlanta High School of Computer Animation & Design,,APS08S,Atlanta Public Schools,,,08S,TRUE,0,312,SA CAD
SA CAD-hs,SA CAD10S,SA CAD08S,0,South Atlanta High School of Computer Animation & Design,,APS10S,Atlanta Public Schools,,,10S,TRUE,0,312,SA CAD
SA CAD-hs,SA CAD11S,SA CAD10S,0,South Atlanta High School of Computer Animation & Design,,APS11S,Atlanta Public Schools,,,11S,TRUE,0,337,SA CAD
SA CAD-hs,SA CAD12S,SA CAD11S,1,South Atlanta High School of Computer Animation & Design,SAANIM,APS12S,Atlanta Public Schools,,,12S,TRUE,0,348,SA CAD
SA CAD-hs,SA CAD13X,SA CAD12S,0,South Atlanta High School of Computer Animation & Design,SACAD,,Atlanta Public Schools,,,13X,TRUE,1,321,SA CAD
SA Health-hs,SA Health08S,,0,South Atlanta High School of Health & Medical Sciences,,APS08S,Atlanta Public Schools,,,08S,TRUE,0,293,SA Health
SA Health-hs,SA Health10S,SA Health08S,0,South Atlanta High School of Health & Medical Sciences,,APS10S,Atlanta Public Schools,,,10S,TRUE,0,293,SA Health
SA Health-hs,SA Health11S,SA Health10S,0,South Atlanta High School of Health & Medical Sciences,,APS11S,Atlanta Public Schools,,,11S,TRUE,0,284,SA Health
SA Health-hs,SA Health12S,SA Health11S,1,South Atlanta High School of Health & Medical Sciences,SAHEALTH,APS12S,Atlanta Public Schools,,,12S,TRUE,1,336,SA Health
SA Law-hs,SA Law08S,,0,South Atlanta High School of Law & Social Justice,,APS08S,Atlanta Public Schools,,,08S,TRUE,0,284,SA Law
SA Law-hs,SA Law10S,SA Law08S,0,South Atlanta High School of Law & Social Justice,,APS10S,Atlanta Public Schools,,,10S,TRUE,0,284,SA Law
SA Law-hs,SA Law11S,SA Law10S,0,South Atlanta High School of Law & Social Justice,,APS11S,Atlanta Public Schools,,,11S,TRUE,0,310,SA Law
SA Law-hs,SA Law12S,SA Law11S,1,South Atlanta High School of Law & Social Justice,SALAW,APS12S,Atlanta Public Schools,,,12S,TRUE,0,326,SA Law
SA Law-hs,SA Law13X,SA Law12S,0,South Atlanta High School of Law & Social Justice,SALAW,,Atlanta Public Schools,,,13X,TRUE,1,270,SA Law
SA Leadership-hs,SA Leadership08S,,0,South Atlanta Leadership and Economic Empowerment,,APS08S,Atlanta Public Schools,,,08S,FALSE,1,130,SA Leadership
Sac New Tech-hs,Sac New Tech10F,,0,Sacramento New Technology High School,,NewTech10F,New Tech Network,,,10F,FALSE,1,303,Sac New Tech
Saginaw-hs,Saginaw11S,,0,Saginaw High School,,EdWorks11S,EdWorks,,,11S,FALSE,1,674,Saginaw
SC-hs,SC10F,,0,Satellite Center,,NewTech10F,New Tech Network,,,10F,FALSE,1,177,SC
Scotland Business-hs,Scotland Business08S,,0,"Scotland High School of Business, Finance and Marketing",,,,,,08S,FALSE,1,196,Scotland Business
Scotland Health-hs,Scotland Health08S,,0,Scotland High School of Health Sciences,,,,,,08S,FALSE,1,346,Scotland Health
Scotland Leadership-hs,Scotland Leadership08S,,0,Scotland High School of Leadership and Public Service,,,,,,08S,FALSE,1,310,Scotland Leadership
Scotland Math-hs,Scotland Math08S,,0,"Scotland High School of Math, Science and Technology",,,,,,08S,FALSE,1,250,Scotland Math
Scotland Visual-hs,Scotland Visual08S,,0,Scotland High School of Visual and Performing Arts,,,,,,08S,FALSE,1,285,Scotland Visual
Searider-hs,Searider11F,,0,Searider New Tech Academy,SEARIDE,NewTech11F,New Tech Network,,New Tech Network,11F,FALSE,1,232,Searider
SEC High School-hs,SEC High School10S,,0,Southeastern Early College High School,,NCNSP10S,North Carolina New Schools,,,10S,FALSE,1,174,SEC High School
SECHS-hs,SECHS10S,,0,Sampson County Early College High School,,NCNSP10S,North Carolina New Schools,,,10S,TRUE,0,239,SECHS
SECHS-hs,SECHS11S,SECHS10S,0,Sampson County Early College High School,,NCNSP11S,North Carolina New Schools,,,11S,TRUE,1,239,SECHS
SHS-hs,SHS11S,,0,Scott High School,,Kenton11S,Kenton County School District,,,11S,TRUE,0,995,SHS
SHS-hs,SHS13S,SHS11S,0,Scott High School,SCOTT,Kenton13S,Kenton County School District,,,13S,TRUE,1,947,SHS
SILSA-hs,SILSA10S,,0,School Of Inquiry And Life Sciences At Asheville,,NCNSP10S,North Carolina New Schools,,,10S,TRUE,0,183,SILSA
SILSA-hs,SILSA11S,SILSA10S,0,School Of Inquiry And Life Sciences At Asheville,,NCNSP11S,North Carolina New Schools,,,11S,TRUE,0,201,SILSA
SILSA-hs,SILSA13X,SILSA11S,0,School Of Inquiry And Life Sciences At Asheville,SILSA,,RTI International,,,13X,TRUE,1,244,SILSA
SKHS-hs,SKHS11S,,0,Simon Kenton High School,,Kenton11S,Kenton County School District,,,11S,TRUE,0,1606,SKHS
SKHS-hs,SKHS13S,SKHS11S,0,Simon Kenton High School,SIMON,Kenton13S,Kenton County School District,,,13S,TRUE,1,1662,SKHS
SKYHS-hs,SKYHS10F,,0,Skyview High School,,Leona-AZ10F,The Leona Group - AZ,,,10F,FALSE,1,183,SKYHS
Skyline-hs,Skyline11S,,0,Skyline High School,,OUSD11S,Oakland Unified School District,,,11S,FALSE,1,1827,Skyline
SMHS-hs,SMHS10F,,0,South Mountain High School,,Phoenix Union10F,Phoenix Union High School District,,,10F,FALSE,1,1848,SMHS
SMSH-hs,SMSH10F,,0,South Miami Senior High School,,Miami-Dade10F,Miami-Dade County Public Schools,,,10F,FALSE,1,2345,SMSH
SOE-hs,SOE10S,,0,Southern High School of Engineering,,NCNSP10S,North Carolina New Schools,STEM10S,STEM,10S,FALSE,1,170,SOE
SoLS-hs,SoLS11S,,0,Cleveland High School of Life Sciences,,NewTech11S,New Tech Network,,,11S,FALSE,1,160,SoLS
South Caldwell-hs,South Caldwell13X,,0,South Caldwell High School,SCALD,,RTI International,,,13X,FALSE,1,638,South Caldwell
South Creek-hs,South Creek13X,,0,South Creek High School,SCRK,,RTI International,,,13X,FALSE,1,145,South Creek
South Pointe-hs,South Pointe09F,,0,South Pointe High School,,Leona-AZ09F,The Leona Group - AZ,,,09F,FALSE,1,753,South Pointe
South Ridge-hs,South Ridge09F,,0,South Ridge High School,,Leona-AZ09F,The Leona Group - AZ,,,09F,FALSE,1,423,South Ridge
South View-hs,South View13Y,,0,South View High School,SVHS,RTI13Y,RTI International,,,13Y,FALSE,1,764,South View
Stevenson-hs,Stevenson08S,,0,Stevenson High School,,,,,,08S,FALSE,1,351,Stevenson
Stokes-hs,Stokes11S,,0,Stokes Early College High School,,NCNSP11S,North Carolina New Schools,,,11S,FALSE,1,101,Stokes
Street Academy-hs,Street Academy11S,,0,Oakland Emiliano Zapata Street Academy,,OUSD11S,Oakland Unified School District,,,11S,TRUE,0,128,Street Academy
Street Academy-hs,Street Academy12S,Street Academy11S,0,Oakland Emiliano Zapata Street Academy,STREE,OUSD12S,Oakland Unified School District,,,12S,TRUE,0,117,Street Academy
Street Academy-hs,Street Academy13S,Street Academy12S,0,Oakland Emiliano Zapata Street Academy,OAKLND,OUSD13S,Oakland Unified School District,,,13S,TRUE,1,98,Street Academy
Suns-Diamondbacks-hs,Suns-Diamondbacks09F,,0,Suns-Diamondbacks Education Academy,,Phoenix Union09F,Phoenix Union High School District,,,09F,TRUE,0,198,Suns-Diamondbacks
Suns-Diamondbacks-hs,Suns-Diamondbacks10F,Suns-Diamondbacks09F,0,Suns-Diamondbacks Education Academy,,Phoenix Union10F,Phoenix Union High School District,,,10F,TRUE,1,225,Suns-Diamondbacks
